"mission","date","name","initials","finished?","n_PR","PRs"
"LANDSAT_7",2021-05-18,"","","",2,"2627; 2628"
"LANDSAT_5",2010-06-13,"","","",1,"2627"
"LANDSAT_7",2014-05-31,"","","",2,"2627; 2628"
"LANDSAT_7",2015-08-22,"","","",2,"2627; 2628"
"LANDSAT_5",2002-05-06,"","","",1,"2628"
"LANDSAT_7",2005-06-07,"","","",2,"2627; 2628"
"LANDSAT_5",2003-04-07,"","","",2,"2627; 2628"
"LANDSAT_7",2005-05-06,"","","",2,"2627; 2628"
"LANDSAT_7",2007-07-31,"","","",2,"2627; 2628"
"LANDSAT_8",2016-08-16,"","","",2,"2627; 2628"
"LANDSAT_7",2020-04-29,"","","",1,"2627"
"LANDSAT_5",2004-11-19,"","","",1,"2627"
"LANDSAT_5",1997-04-22,"","","",2,"2627; 2628"
"LANDSAT_7",2014-09-20,"","","",2,"2627; 2628"
"LANDSAT_5",2008-09-27,"","","",1,"2627"
"LANDSAT_5",2001-04-17,"","","",2,"2627; 2628"
"LANDSAT_5",2006-08-05,"","","",2,"2627; 2628"
"LANDSAT_5",2001-10-26,"","","",1,"2627"
"LANDSAT_7",2017-06-08,"","","",2,"2627; 2628"
"LANDSAT_8",2019-05-21,"","","",2,"2627; 2628"
"LANDSAT_5",2000-04-30,"","","",2,"2627; 2628"
"LANDSAT_8",2014-08-27,"","","",2,"2627; 2628"
"LANDSAT_5",2010-10-03,"","","",2,"2627; 2628"
"LANDSAT_7",2019-04-27,"","","",1,"2627"
"LANDSAT_5",2009-05-25,"","","",2,"2627; 2628"
"LANDSAT_5",2000-05-16,"","","",2,"2627; 2628"
"LANDSAT_7",2022-05-23,"","","",2,"2627; 2628"
"LANDSAT_7",2010-04-02,"","","",2,"2627; 2628"
"LANDSAT_7",2012-04-23,"","","",2,"2627; 2628"
"LANDSAT_8",2015-10-01,"","","",2,"2627; 2628"
"LANDSAT_7",2013-07-31,"","","",2,"2627; 2628"
"LANDSAT_8",2016-04-10,"","","",2,"2627; 2628"
"LANDSAT_7",2004-04-17,"","","",2,"2627; 2628"
"LANDSAT_7",2013-04-26,"","","",2,"2627; 2628"
"LANDSAT_5",2001-05-19,"","","",2,"2627; 2628"
"LANDSAT_5",1996-08-09,"","","",1,"2627"
"LANDSAT_7",2019-06-30,"","","",1,"2627"
"LANDSAT_5",2005-06-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-07-01,"","","",2,"2627; 2628"
"LANDSAT_5",2001-06-20,"","","",2,"2627; 2628"
"LANDSAT_5",1996-09-10,"","","",2,"2627; 2628"
"LANDSAT_5",2006-11-25,"","","",2,"2627; 2628"
"LANDSAT_8",2019-10-28,"","","",1,"2628"
"LANDSAT_8",2013-10-27,"","","",2,"2627; 2628"
"LANDSAT_7",2006-07-28,"","","",2,"2627; 2628"
"LANDSAT_7",2019-09-18,"","","",1,"2627"
"LANDSAT_9",2023-04-06,"","","",2,"2627; 2628"
"LANDSAT_5",1997-06-25,"","","",2,"2627; 2628"
"LANDSAT_7",2008-06-15,"","","",2,"2627; 2628"
"LANDSAT_8",2015-10-17,"","","",2,"2627; 2628"
"LANDSAT_7",2008-09-19,"","","",2,"2627; 2628"
"LANDSAT_8",2019-07-24,"","","",2,"2627; 2628"
"LANDSAT_8",2021-05-26,"","","",2,"2627; 2628"
"LANDSAT_5",1999-06-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-08-02,"","","",2,"2627; 2628"
"LANDSAT_5",2001-09-24,"","","",2,"2627; 2628"
"LANDSAT_5",1999-10-05,"","","",2,"2627; 2628"
"LANDSAT_9",2021-11-06,"","","",2,"2627; 2628"
"LANDSAT_5",1998-07-14,"","","",2,"2627; 2628"
"LANDSAT_7",2018-04-08,"","","",2,"2627; 2628"
"LANDSAT_5",1987-09-02,"","","",2,"2627; 2628"
"LANDSAT_5",1992-10-01,"","","",2,"2627; 2628"
"LANDSAT_5",1990-06-22,"","","",2,"2627; 2628"
"LANDSAT_7",2001-06-12,"","","",2,"2627; 2628"
"LANDSAT_8",2016-09-01,"","","",2,"2627; 2628"
"LANDSAT_8",2016-06-29,"","","",2,"2627; 2628"
"LANDSAT_8",2021-07-13,"","","",2,"2627; 2628"
"LANDSAT_5",1991-08-28,"","","",2,"2627; 2628"
"LANDSAT_5",1984-07-23,"","","",1,"2627"
"LANDSAT_7",2003-08-05,"","","",2,"2627; 2628"
"LANDSAT_7",2011-04-21,"","","",2,"2627; 2628"
"LANDSAT_5",1984-11-12,"","","",2,"2627; 2628"
"LANDSAT_7",2020-09-04,"","","",2,"2627; 2628"
"LANDSAT_7",2009-05-01,"","","",2,"2627; 2628"
"LANDSAT_5",2002-09-27,"","","",2,"2627; 2628"
"LANDSAT_7",2011-10-30,"","","",2,"2627; 2628"
"LANDSAT_7",2002-11-06,"","","",2,"2627; 2628"
"LANDSAT_7",2006-08-13,"","","",1,"2628"
"LANDSAT_5",1987-08-01,"","","",1,"2628"
"LANDSAT_7",2002-05-14,"","","",2,"2627; 2628"
"LANDSAT_7",2009-07-04,"","","",2,"2627; 2628"
"LANDSAT_7",2000-11-16,"","","",2,"2627; 2628"
"LANDSAT_7",2003-08-21,"","","",2,"2627; 2628"
"LANDSAT_5",1997-08-12,"","","",1,"2627"
"LANDSAT_5",1988-07-02,"","","",2,"2627; 2628"
"LANDSAT_7",1999-11-14,"","","",2,"2627; 2628"
"LANDSAT_7",2010-04-18,"","","",2,"2627; 2628"
"LANDSAT_7",2005-11-14,"","","",2,"2627; 2628"
"LANDSAT_5",2003-04-23,"","","",2,"2627; 2628"
"LANDSAT_7",2011-07-26,"","","",2,"2627; 2628"
"LANDSAT_7",2018-06-11,"","","",2,"2627; 2628"
"LANDSAT_8",2016-09-17,"","","",1,"2627"
"LANDSAT_5",2011-05-31,"","","",2,"2627; 2628"
"LANDSAT_7",2018-04-24,"","","",2,"2627; 2628"
"LANDSAT_8",2022-08-01,"","","",1,"2627"
"LANDSAT_5",2008-06-07,"","","",2,"2627; 2628"
"LANDSAT_5",1991-05-08,"","","",2,"2627; 2628"
"LANDSAT_5",2004-06-28,"","","",2,"2627; 2628"
"LANDSAT_7",2012-08-13,"","","",2,"2627; 2628"
"LANDSAT_5",1993-09-18,"","","",2,"2627; 2628"
"LANDSAT_7",2010-07-23,"","","",2,"2627; 2628"
"LANDSAT_7",2002-04-12,"","","",2,"2627; 2628"
"LANDSAT_9",2022-07-24,"","","",2,"2627; 2628"
"LANDSAT_5",1990-07-08,"","","",2,"2627; 2628"
"LANDSAT_5",1985-06-08,"","","",1,"2627"
"LANDSAT_5",1986-04-24,"","","",1,"2628"
"LANDSAT_8",2022-06-30,"","","",2,"2627; 2628"
"LANDSAT_7",2022-07-30,"","","",2,"2627; 2628"
"LANDSAT_7",2003-09-22,"","","",2,"2627; 2628"
"LANDSAT_5",2002-09-11,"","","",2,"2627; 2628"
"LANDSAT_8",2016-11-20,"","","",2,"2627; 2628"
"LANDSAT_8",2013-07-07,"","","",2,"2627; 2628"
"LANDSAT_5",2008-05-06,"","","",2,"2627; 2628"
"LANDSAT_7",1999-07-25,"","","",2,"2627; 2628"
"LANDSAT_5",1986-11-02,"","","",2,"2627; 2628"
"LANDSAT_5",2001-07-22,"","","",1,"2628"
"LANDSAT_7",2005-08-10,"","","",2,"2627; 2628"
"LANDSAT_5",2010-11-20,"","","",2,"2627; 2628"
"LANDSAT_8",2014-06-24,"","","",1,"2628"
"LANDSAT_7",2019-08-01,"","","",2,"2627; 2628"
"LANDSAT_5",1992-06-27,"","","",2,"2627; 2628"
"LANDSAT_7",2018-11-02,"","","",2,"2627; 2628"
"LANDSAT_7",2007-09-01,"","","",2,"2627; 2628"
"LANDSAT_8",2019-08-09,"","","",2,"2627; 2628"
"LANDSAT_5",2005-09-03,"","","",2,"2627; 2628"
"LANDSAT_7",2020-08-19,"","","",2,"2627; 2628"
"LANDSAT_5",1991-04-06,"","","",2,"2627; 2628"
"LANDSAT_5",1993-11-21,"","","",2,"2627; 2628"
"LANDSAT_7",2014-04-29,"","","",1,"2627"
"LANDSAT_8",2018-07-05,"","","",2,"2627; 2628"
"LANDSAT_5",2005-07-01,"","","",2,"2627; 2628"
"LANDSAT_7",2022-06-09,"","","",2,"2627; 2628"
"LANDSAT_7",2001-10-18,"","","",1,"2628"
"LANDSAT_8",2019-04-03,"","","",2,"2627; 2628"
"LANDSAT_5",2010-07-31,"","","",2,"2627; 2628"
"LANDSAT_7",2001-05-11,"","","",2,"2627; 2628"
"LANDSAT_9",2022-05-21,"","","",2,"2627; 2628"
"LANDSAT_5",1987-07-16,"","","",2,"2627; 2628"
"LANDSAT_8",2021-10-17,"","","",2,"2627; 2628"
"LANDSAT_5",2010-07-15,"","","",2,"2627; 2628"
"LANDSAT_5",1999-09-03,"","","",2,"2627; 2628"
"LANDSAT_5",1998-08-15,"","","",2,"2627; 2628"
"LANDSAT_5",1995-09-08,"","","",2,"2627; 2628"
"LANDSAT_5",1987-06-30,"","","",2,"2627; 2628"
"LANDSAT_8",2015-11-18,"","","",2,"2627; 2628"
"LANDSAT_5",1992-08-14,"","","",2,"2627; 2628"
"LANDSAT_7",2000-08-12,"","","",1,"2627"
"LANDSAT_7",2009-08-21,"","","",2,"2627; 2628"
"LANDSAT_8",2022-07-16,"","","",2,"2627; 2628"
"LANDSAT_5",1985-04-21,"","","",2,"2627; 2628"
"LANDSAT_5",1994-11-08,"","","",2,"2627; 2628"
"LANDSAT_7",2012-09-14,"","","",2,"2627; 2628"
"LANDSAT_5",2008-05-22,"","","",2,"2627; 2628"
"LANDSAT_8",2014-04-21,"","","",2,"2627; 2628"
"LANDSAT_7",2006-06-10,"","","",2,"2627; 2628"
"LANDSAT_7",2019-11-05,"","","",2,"2627; 2628"
"LANDSAT_5",1990-10-12,"","","",2,"2627; 2628"
"LANDSAT_7",2012-06-26,"","","",2,"2627; 2628"
"LANDSAT_5",2001-08-07,"","","",2,"2627; 2628"
"LANDSAT_5",1997-07-27,"","","",2,"2627; 2628"
"LANDSAT_5",1987-08-17,"","","",2,"2627; 2628"
"LANDSAT_7",2001-09-16,"","","",1,"2628"
"LANDSAT_7",2015-05-02,"","","",2,"2627; 2628"
"LANDSAT_5",1999-11-22,"","","",1,"2628"
"LANDSAT_7",1999-09-27,"","","",2,"2627; 2628"
"LANDSAT_7",1999-09-11,"","","",2,"2627; 2628"
"LANDSAT_5",1991-08-12,"","","",2,"2627; 2628"
"LANDSAT_5",2003-06-26,"","","",1,"2628"
"LANDSAT_7",2014-06-16,"","","",2,"2627; 2628"
"LANDSAT_5",2004-11-03,"","","",2,"2627; 2628"
"LANDSAT_7",2017-10-14,"","","",2,"2627; 2628"
"LANDSAT_8",2015-04-24,"","","",1,"2627"
"LANDSAT_8",2020-06-24,"","","",2,"2627; 2628"
"LANDSAT_8",2017-08-19,"","","",2,"2627; 2628"
"LANDSAT_5",2002-08-10,"","","",2,"2627; 2628"
"LANDSAT_7",2021-08-22,"","","",2,"2627; 2628"
"LANDSAT_5",1995-07-22,"","","",2,"2627; 2628"
"LANDSAT_7",2017-05-07,"","","",2,"2627; 2628"
"LANDSAT_7",2019-05-29,"","","",2,"2627; 2628"
"LANDSAT_5",2009-07-12,"","","",2,"2627; 2628"
"LANDSAT_5",1990-09-26,"","","",2,"2627; 2628"
"LANDSAT_5",1994-05-16,"","","",2,"2627; 2628"
"LANDSAT_8",2017-07-18,"","","",1,"2627"
"LANDSAT_7",2013-06-29,"","","",2,"2627; 2628"
"LANDSAT_5",2010-10-19,"","","",2,"2627; 2628"
"LANDSAT_5",1999-04-12,"","","",2,"2627; 2628"
"LANDSAT_8",2017-10-22,"","","",2,"2627; 2628"
"LANDSAT_7",2000-06-09,"","","",2,"2627; 2628"
"LANDSAT_5",1985-08-27,"","","",2,"2627; 2628"
"LANDSAT_8",2014-05-07,"","","",2,"2627; 2628"
"LANDSAT_5",2011-04-13,"","","",2,"2627; 2628"
"LANDSAT_5",1985-07-26,"","","",1,"2627"
"LANDSAT_5",1990-05-05,"","","",2,"2627; 2628"
"LANDSAT_5",1988-04-13,"","","",2,"2627; 2628"
"LANDSAT_5",1989-06-03,"","","",2,"2627; 2628"
"LANDSAT_7",2022-04-03,"","","",2,"2627; 2628"
"LANDSAT_5",1996-08-25,"","","",2,"2627; 2628"
"LANDSAT_7",2001-08-31,"","","",2,"2627; 2628"
"LANDSAT_7",2010-08-24,"","","",2,"2627; 2628"
"LANDSAT_5",1992-09-15,"","","",2,"2627; 2628"
"LANDSAT_5",1987-05-29,"","","",1,"2627"
"LANDSAT_5",1997-06-09,"","","",2,"2627; 2628"
"LANDSAT_7",2014-07-02,"","","",2,"2627; 2628"
"LANDSAT_5",1986-08-30,"","","",2,"2627; 2628"
"LANDSAT_5",1998-09-16,"","","",1,"2627"
"LANDSAT_7",2005-06-23,"","","",2,"2627; 2628"
"LANDSAT_7",2009-06-18,"","","",2,"2627; 2628"
"LANDSAT_5",1993-10-20,"","","",2,"2627; 2628"
"LANDSAT_9",2022-10-28,"","","",2,"2627; 2628"
"LANDSAT_8",2015-06-11,"","","",2,"2627; 2628"
"LANDSAT_9",2022-09-10,"","","",2,"2627; 2628"
"LANDSAT_7",2015-11-10,"","","",2,"2627; 2628"
"LANDSAT_7",2018-09-15,"","","",1,"2628"
"LANDSAT_5",1996-10-28,"","","",2,"2627; 2628"
"LANDSAT_5",1997-10-31,"","","",1,"2628"
"LANDSAT_7",2018-10-17,"","","",2,"2627; 2628"
"LANDSAT_9",2022-09-26,"","","",2,"2627; 2628"
"LANDSAT_7",2004-11-11,"","","",2,"2627; 2628"
"LANDSAT_5",1994-08-20,"","","",1,"2627"
"LANDSAT_5",1992-07-13,"","","",1,"2628"
"LANDSAT_7",2000-09-13,"","","",2,"2627; 2628"
"LANDSAT_8",2017-09-20,"","","",1,"2628"
"LANDSAT_5",1995-06-04,"","","",2,"2627; 2628"
"LANDSAT_7",2021-09-23,"","","",2,"2627; 2628"
"LANDSAT_8",2019-06-06,"","","",2,"2627; 2628"
"LANDSAT_5",1985-07-10,"","","",1,"2627"
"LANDSAT_7",2005-07-25,"","","",2,"2627; 2628"
"LANDSAT_7",2014-07-18,"","","",2,"2627; 2628"
"LANDSAT_5",2006-04-15,"","","",2,"2627; 2628"
"LANDSAT_5",2004-07-30,"","","",1,"2628"
"LANDSAT_5",2003-07-12,"","","",2,"2627; 2628"
"LANDSAT_8",2018-05-02,"","","",1,"2628"
"LANDSAT_5",1988-09-04,"","","",2,"2627; 2628"
"LANDSAT_7",2011-05-07,"","","",2,"2627; 2628"
"LANDSAT_7",2019-07-16,"","","",2,"2627; 2628"
"LANDSAT_5",1984-05-04,"","","",2,"2627; 2628"
"LANDSAT_7",2021-06-19,"","","",2,"2627; 2628"
"LANDSAT_7",2012-07-28,"","","",2,"2627; 2628"
"LANDSAT_7",2020-06-16,"","","",2,"2627; 2628"
"LANDSAT_7",2019-08-17,"","","",2,"2627; 2628"
"LANDSAT_7",2011-11-15,"","","",2,"2627; 2628"
"LANDSAT_5",2005-08-02,"","","",2,"2627; 2628"
"LANDSAT_5",2008-10-29,"","","",2,"2627; 2628"
"LANDSAT_5",2000-09-05,"","","",2,"2627; 2628"
"LANDSAT_5",1988-08-19,"","","",2,"2627; 2628"
"LANDSAT_8",2019-08-25,"","","",2,"2627; 2628"
"LANDSAT_5",1995-10-26,"","","",2,"2627; 2628"
"LANDSAT_5",2009-11-17,"","","",2,"2627; 2628"
"LANDSAT_5",2007-09-09,"","","",2,"2627; 2628"
"LANDSAT_8",2017-07-02,"","","",2,"2627; 2628"
"LANDSAT_8",2019-07-08,"","","",2,"2627; 2628"
"LANDSAT_9",2022-10-12,"","","",2,"2627; 2628"
"LANDSAT_7",2016-04-18,"","","",1,"2628"
"LANDSAT_7",2022-07-13,"","","",2,"2627; 2628"
"LANDSAT_5",2005-07-17,"","","",2,"2627; 2628"
"LANDSAT_5",2004-09-16,"","","",2,"2627; 2628"
"LANDSAT_5",2007-04-18,"","","",2,"2627; 2628"
"LANDSAT_7",2016-06-21,"","","",2,"2627; 2628"
"LANDSAT_7",2005-04-04,"","","",2,"2627; 2628"
"LANDSAT_7",2007-06-29,"","","",2,"2627; 2628"
"LANDSAT_5",2008-08-26,"","","",2,"2627; 2628"
"LANDSAT_5",1996-04-19,"","","",2,"2627; 2628"
"LANDSAT_5",2007-07-23,"","","",2,"2627; 2628"
"LANDSAT_7",2001-07-14,"","","",2,"2627; 2628"
"LANDSAT_5",1998-04-25,"","","",2,"2627; 2628"
"LANDSAT_7",2005-09-11,"","","",2,"2627; 2628"
"LANDSAT_7",2005-07-09,"","","",2,"2627; 2628"
"LANDSAT_7",2017-04-05,"","","",2,"2627; 2628"
"LANDSAT_7",2016-08-24,"","","",2,"2627; 2628"
"LANDSAT_7",2006-04-23,"","","",2,"2627; 2628"
"LANDSAT_7",2004-07-06,"","","",1,"2627"
"LANDSAT_5",2000-06-17,"","","",2,"2627; 2628"
"LANDSAT_5",1989-10-25,"","","",2,"2627; 2628"
"LANDSAT_7",2014-08-03,"","","",2,"2627; 2628"
"LANDSAT_7",2001-05-27,"","","",2,"2627; 2628"
"LANDSAT_5",1998-11-03,"","","",2,"2627; 2628"
"LANDSAT_5",1991-10-15,"","","",2,"2627; 2628"
"LANDSAT_7",2016-04-02,"","","",2,"2627; 2628"
"LANDSAT_5",1985-06-24,"","","",1,"2627"
"LANDSAT_5",2000-07-03,"","","",2,"2627; 2628"
"LANDSAT_8",2018-09-23,"","","",1,"2628"
"LANDSAT_5",1994-06-17,"","","",1,"2628"
"LANDSAT_5",2009-07-28,"","","",1,"2627"
"LANDSAT_5",1984-07-07,"","","",2,"2627; 2628"
"LANDSAT_8",2018-08-22,"","","",2,"2627; 2628"
"LANDSAT_5",1993-05-13,"","","",2,"2627; 2628"
"LANDSAT_5",1998-05-27,"","","",2,"2627; 2628"
"LANDSAT_8",2013-08-24,"","","",2,"2627; 2628"
"LANDSAT_7",2013-09-01,"","","",2,"2627; 2628"
"LANDSAT_7",2017-07-10,"","","",2,"2627; 2628"
"LANDSAT_7",2021-10-25,"","","",2,"2627; 2628"
"LANDSAT_5",2004-05-11,"","","",2,"2627; 2628"
"LANDSAT_7",2010-10-11,"","","",2,"2627; 2628"
"LANDSAT_8",2020-04-21,"","","",2,"2627; 2628"
"LANDSAT_5",2000-11-24,"","","",2,"2627; 2628"
"LANDSAT_7",2014-09-04,"","","",2,"2627; 2628"
"LANDSAT_7",2011-06-08,"","","",2,"2627; 2628"
"LANDSAT_7",2002-07-17,"","","",2,"2627; 2628"
"LANDSAT_7",2014-10-06,"","","",2,"2627; 2628"
"LANDSAT_5",2008-04-20,"","","",1,"2628"
"LANDSAT_7",2012-08-29,"","","",2,"2627; 2628"
"LANDSAT_5",1990-04-03,"","","",1,"2627"
"LANDSAT_5",2000-10-23,"","","",2,"2627; 2628"
"LANDSAT_7",2004-08-23,"","","",2,"2627; 2628"
"LANDSAT_7",2005-04-20,"","","",2,"2627; 2628"
"LANDSAT_7",2006-06-26,"","","",2,"2627; 2628"
"LANDSAT_5",1988-07-18,"","","",2,"2627; 2628"
"LANDSAT_7",2008-10-21,"","","",2,"2627; 2628"
"LANDSAT_5",1990-05-21,"","","",1,"2627"
"LANDSAT_5",1990-08-09,"","","",2,"2627; 2628"
"LANDSAT_8",2014-09-28,"","","",2,"2627; 2628"
"LANDSAT_7",2007-11-04,"","","",2,"2627; 2628"
"LANDSAT_9",2022-06-06,"","","",2,"2627; 2628"
"LANDSAT_7",2006-11-01,"","","",2,"2627; 2628"
"LANDSAT_7",2001-10-02,"","","",2,"2627; 2628"
"LANDSAT_5",2002-10-13,"","","",2,"2627; 2628"
"LANDSAT_7",2022-09-02,"","","",2,"2627; 2628"
"LANDSAT_7",2021-08-06,"","","",2,"2627; 2628"
"LANDSAT_5",1996-07-24,"","","",2,"2627; 2628"
"LANDSAT_7",2004-08-07,"","","",1,"2627"
"LANDSAT_5",2003-05-25,"","","",2,"2627; 2628"
"LANDSAT_5",1996-06-06,"","","",1,"2628"
"LANDSAT_7",2013-04-10,"","","",2,"2627; 2628"
"LANDSAT_8",2015-05-26,"","","",1,"2627"
"LANDSAT_8",2015-07-13,"","","",2,"2627; 2628"
"LANDSAT_8",2020-06-08,"","","",2,"2627; 2628"
"LANDSAT_5",2009-04-07,"","","",2,"2627; 2628"
"LANDSAT_7",2009-05-17,"","","",2,"2627; 2628"
"LANDSAT_8",2014-10-14,"","","",2,"2627; 2628"
"LANDSAT_5",2009-06-26,"","","",2,"2627; 2628"
"LANDSAT_7",2017-09-12,"","","",2,"2627; 2628"
"LANDSAT_5",1999-04-28,"","","",2,"2627; 2628"
"LANDSAT_7",2021-09-07,"","","",2,"2627; 2628"
"LANDSAT_7",2009-11-09,"","","",2,"2627; 2628"
"LANDSAT_5",1992-05-10,"","","",2,"2627; 2628"
"LANDSAT_7",2020-05-15,"","","",2,"2627; 2628"
"LANDSAT_7",2010-09-25,"","","",2,"2627; 2628"
"LANDSAT_8",2019-06-22,"","","",2,"2627; 2628"
"LANDSAT_7",2001-11-03,"","","",2,"2627; 2628"
"LANDSAT_7",2013-05-28,"","","",2,"2627; 2628"
"LANDSAT_7",2015-06-19,"","","",2,"2627; 2628"
"LANDSAT_5",2007-08-08,"","","",2,"2627; 2628"
"LANDSAT_5",2007-08-24,"","","",2,"2627; 2628"
"LANDSAT_7",2016-05-04,"","","",2,"2627; 2628"
"LANDSAT_7",2020-04-13,"","","",2,"2627; 2628"
"LANDSAT_7",2011-08-11,"","","",2,"2627; 2628"
"LANDSAT_5",2004-06-12,"","","",2,"2627; 2628"
"LANDSAT_7",2007-05-12,"","","",2,"2627; 2628"
"LANDSAT_7",2000-07-11,"","","",2,"2627; 2628"
"LANDSAT_8",2022-09-02,"","","",2,"2627; 2628"
"LANDSAT_8",2015-08-14,"","","",2,"2627; 2628"
"LANDSAT_7",2012-09-30,"","","",2,"2627; 2628"
"LANDSAT_5",1986-09-15,"","","",2,"2627; 2628"
"LANDSAT_9",2022-04-19,"","","",2,"2627; 2628"
"LANDSAT_8",2019-09-10,"","","",2,"2627; 2628"
"LANDSAT_5",1988-06-16,"","","",2,"2627; 2628"
"LANDSAT_5",2002-05-22,"","","",2,"2627; 2628"
"LANDSAT_7",2015-06-03,"","","",2,"2627; 2628"
"LANDSAT_7",2010-05-20,"","","",2,"2627; 2628"
"LANDSAT_7",2002-07-01,"","","",2,"2627; 2628"
"LANDSAT_8",2013-08-08,"","","",2,"2627; 2628"
"LANDSAT_5",1987-05-13,"","","",2,"2627; 2628"
"LANDSAT_5",2000-04-14,"","","",1,"2628"
"LANDSAT_5",2006-10-24,"","","",2,"2627; 2628"
"LANDSAT_7",2007-09-17,"","","",2,"2627; 2628"
"LANDSAT_7",2000-07-27,"","","",2,"2627; 2628"
"LANDSAT_5",2011-04-29,"","","",2,"2627; 2628"
"LANDSAT_5",2011-08-03,"","","",2,"2627; 2628"
"LANDSAT_8",2013-10-11,"","","",2,"2627; 2628"
"LANDSAT_8",2015-08-30,"","","",2,"2627; 2628"
"LANDSAT_7",2000-09-29,"","","",2,"2627; 2628"
"LANDSAT_5",2006-06-18,"","","",2,"2627; 2628"
"LANDSAT_7",2018-06-27,"","","",2,"2627; 2628"
"LANDSAT_5",1993-05-29,"","","",2,"2627; 2628"
"LANDSAT_7",2021-07-05,"","","",2,"2627; 2628"
"LANDSAT_5",2000-10-07,"","","",2,"2627; 2628"
"LANDSAT_5",2010-08-16,"","","",2,"2627; 2628"
"LANDSAT_5",1996-10-12,"","","",2,"2627; 2628"
"LANDSAT_5",2006-08-21,"","","",2,"2627; 2628"
"LANDSAT_7",2007-06-13,"","","",2,"2627; 2628"
"LANDSAT_5",1985-10-14,"","","",2,"2627; 2628"
"LANDSAT_7",2002-11-22,"","","",2,"2627; 2628"
"LANDSAT_5",1998-07-30,"","","",1,"2627"
"LANDSAT_7",2009-09-22,"","","",1,"2627"
"LANDSAT_7",2004-05-19,"","","",2,"2627; 2628"
"LANDSAT_5",1984-06-05,"","","",1,"2627"
"LANDSAT_5",1987-06-14,"","","",2,"2627; 2628"
"LANDSAT_8",2017-11-23,"","","",2,"2627; 2628"
"LANDSAT_5",1989-06-19,"","","",2,"2627; 2628"
"LANDSAT_5",1985-04-05,"","","",1,"2627"
"LANDSAT_7",2006-09-30,"","","",2,"2627; 2628"
